,AGG,SPY
,close,close
2019-01-02,106.585,249.89
2019-01-03,107.02,244.46
2019-01-04,106.695,252.41
2019-01-07,106.47,254.4
2019-01-08,106.42,256.65
2019-01-09,106.48,257.71
2019-01-10,106.385,258.94
2019-01-11,106.56,258.76
2019-01-14,106.44,257.69
2019-01-15,106.4,260.21
2019-01-16,106.475,260.94
2019-01-17,106.43,262.88
2019-01-18,106.325,266.16
2019-01-22,106.455,261.97
2019-01-23,106.53,263.1
2019-01-24,106.73,263.69
2019-01-25,106.675,265.7
2019-01-28,106.655,263.635
2019-01-29,106.9063,263.31
2019-01-30,107.14,267.4625
2019-01-31,107.46,270.2325
2019-02-01,106.96,270.07
2019-02-04,106.895,271.78
2019-02-05,107.09,273.13
2019-02-06,107.0441,272.7
2019-02-07,107.15,269.97
2019-02-08,107.355,270.08
2019-02-11,107.1999,270.64
2019-02-12,107.23,274.075
2019-02-13,107.085,274.98
2019-02-14,107.26,274.535
2019-02-15,107.275,277.27
2019-02-19,107.34,277.78
2019-02-20,107.365,278.43
2019-02-21,107.13,277.46
2019-02-22,107.4,279.15
2019-02-25,107.36,279.57
2019-02-26,107.495,279.34
2019-02-27,107.27,279.23
2019-02-28,107.09,278.54
2019-03-01,106.62,280.49
2019-03-04,106.76,279.41
2019-03-05,106.83,279.05
2019-03-06,106.99,277.29
2019-03-07,107.29,275.08
2019-03-08,107.43,274.525
2019-03-11,107.44,278.5
2019-03-12,107.63,279.44
2019-03-13,107.58,281.34
2019-03-14,107.43,281.19
2019-03-15,107.7,281.35
2019-03-18,107.675,282.38
2019-03-19,107.625,282.48
2019-03-20,108.06,281.53
2019-03-21,108.09,284.67
2019-03-22,108.63,279.25
2019-03-25,108.82,279.03
2019-03-26,108.84,281.02
2019-03-27,109.07,279.72
2019-03-28,109.07,280.79
2019-03-29,109.065,282.62
2019-04-01,108.31,285.89
2019-04-02,108.43,285.98
2019-04-03,108.22,286.52
2019-04-04,108.3,287.22
2019-04-05,108.385,288.62
2019-04-08,108.33,288.81
2019-04-09,108.4,287.305
